issue_id	severity	category	route_or_source	viewport	expected	observed	measurement_or_evidence	recommended_fix
GG-AUD-001	Blocker	currentness or evidence	/professional-development; 02-collect/source-data/site-text/professional-development--3df64ae7.txt	all	Preserve the captured current Professional Development offering, including topics, formats, duration, group-size limit, and facilitator context, while labeling details for launch verification.	The rendered page says the record does not establish a current program and omits the saved offering details; CONTENT-COVERAGE.tsv nevertheless marks the related rows implemented=yes and verified=yes.	The source lists a 90-minute tour and Q&A, half-day and full-day formats, groups up to five, named facilitator context, and seven topic areas. The rendered page contains only a historical 2018 record and generic contact path.	Restore the source-grounded offering as captured-current information with visible launch-current qualifiers; retain the historical-price exclusion; add the approved inquiry boundary and See Our Approach route.
GG-AUD-002	Blocker	content coverage	/news/{slug}; 16 supported article text files plus babycow--ed5ac122.txt	all	Migrate every supported first-party HTML article, story, and report into the repeatable record type with meaningful dated content, status, provenance, and relevant original-file or approved source access.	All 17 record pages contain only a short summary, author, topic, and the same generic About this record paragraph; no record preserves its source-specific body or specific provenance. The coverage generator still assigns archive-record plus implemented=yes and verified=yes.	The 16 article extracts excluding the archive hub plus the Baby Cow extract contain 22,691 extracted words before navigation/footer cleanup. The tested Building Community source contains a substantive multi-paragraph article, while its rendered record omits that body. Every record uses the same src/pages.jsx record template.	Create source-specific dated record bodies or an explicitly governed retained-source handoff; preserve author, date, type, status, provenance, attachments, and qualifiers. Mark any rights-limited item deferred instead of verified as migrated.
GG-AUD-003	High	image reuse	all image-bearing routes	all	Use each editorial photograph in only one site placement, counting crops and responsive variants as the same underlying image.	The site has 40 editorial placements but only 11 unique underlying photographs; every photograph is repeated, producing 29 duplicate placements.	Desktop rendered inventory: collaboration-tiles, material-table, painting-process, observation-drawing, featherstone-deck, project-group, belonging-hands each appear 4 times; studio-relationship, meadow-inquiry, featherstone-campus, clay-construction each appear 3 times. The source inventory contains 248 unique approved-photo hashes, leaving 237 unused after the 11 selections.	Keep one strongest role per current photograph and assign a different unused source asset to every secondary placement. Suitable starting replacements include ASSET-003, ASSET-098, ASSET-141, ASSET-145, ASSET-149, ASSET-183, ASSET-184, ASSET-196, ASSET-233, ASSET-059, ASSET-061, ASSET-087, and ASSET-130; review visible third-party art or marks before launch.
GG-AUD-004	High	responsive layout	/news/new-combined-kindergartenpreschool-program-at-garden-gate	768, 390, 320	Every route must reflow without horizontal page overflow or clipped text at all required widths.	The unbreakable Kindergarten/Preschool heading expands the whole page beyond the viewport at tablet and phone widths.	Measured rendered document widths: 951 versus 768 pixels, 664 versus 390 pixels, and 517 versus 320 pixels; overflow is 183, 274, and 197 pixels.	Allow safe line breaking around the slash or insert an accessible break opportunity; add overflow-wrap for long record headings; retest all 17 titles at 768, 390, and 320 pixels.
GG-AUD-005	High	content coverage	/enrollment	all	Include the blueprint's before-applying context, dated published process, 16-field form evidence, visibly dated 2025 PDF status, Equitable Tuition and scholarship context, inactive Portuguese boundary, privacy/data warning, and question path.	The page reduces enrollment to three generic steps and one launch notice; it omits the required evidence distinctions and supported access context.	The rendered page has one hero, one 3-step sequence, and one contact field. Blueprint units 2 through 7 are absent or collapsed into a disclaimer.	Restore each required unit concisely, label time-sensitive details as captured evidence, keep the form and 2025 PDF inactive pending approval, and add explicit Privacy, Our Approach, and question-routing context.
GG-AUD-006	High	content coverage	/families	all	Provide a stable current-family hub with the latest dated record, Programs and Our Approach references, supported family communication/participation, administration versus enrollment routing, inactive Portuguese status, and missing-resource disclosure.	The page offers only generic News & Resources and Contact cards plus a launch notice.	Five of seven ordered blueprint responsibilities are absent. The rendered page's main content is 1,448 pixels high at 1440 and contains two bordered cards.	Add the latest dated resource with its date/status, concise supported participation context, Programs, Our Approach, Enrollment, and the intentional Portuguese-unavailable state while retaining the missing-resource notice.
GG-AUD-007	High	content coverage	/about	all	Publish the source-faithful full mission, nonprofit cause/purpose, supported cultural participation, and dated FY2024 accountability context in addition to history, place, and People.	The page paraphrases the mission and covers history, Featherstone, and People but omits the exact mission, cultural participation evidence, and a dated accountability/public-filing path.	Blueprint ordered units 1, 2, 5, and 6 are missing or materially incomplete; the page has no FY2024 filing link or dated accountability module.	Restore the exact source-grounded mission, add concise cause and historical cultural-participation evidence, and provide a clearly dated FY2024 accountability record without presenting it as current finances.
GG-AUD-008	High	route or CTA	/about/people; /professional-development; /employment; /contact	all	Preserve the source-backed Stage 5 page actions and reason-based routing.	People omits See Our Approach and Explore Programs; Professional Development omits See Our Approach; Employment replaces See Our Approach and Meet Our People with Contact; Contact omits the six specialist routes to Enrollment, Support, Professional Development, Employment, Privacy, and Accessibility.	Rendered-link inspection at 1440 confirmed only View Employment on People, 2018 record plus Contact on Professional Development, Contact on Employment, and direct facts/maps/social on Contact. Global footer links do not satisfy page-context CTA placement.	Add the locked contextual links with their exact destinations and approved labels; keep unapproved forms inactive and retain direct contact as fallback.
GG-AUD-009	Medium	typography	global header, cards, captions, and links	1440 and 390	Keep utility text, captions, metadata, navigation, and controls comfortably readable while retaining the coherent two-family type system.	The Literata and Atkinson Hyperlegible pairing is appropriate and legally bundled, but several functional roles are unusually small.	Measured desktop: utility navigation 11.68px, main navigation 12.8px, card metadata 11.52px, caption 12.16px, text link 14.4px, button 14.72px. Phone caption falls to 11.2px and mobile wordmark subtitle is 9.075px. Body is 17px desktop and 16.5px phone; Home H1 is 82.08px desktop and 58.5px phone.	Raise utility, metadata, caption, subtitle, and action text to a restrained readable floor; preserve Literata for display and Atkinson Hyperlegible for functional/body roles; retest wrapping at 200 percent zoom.
GG-AUD-010	Medium	accessibility	/, /programs, /about, /enrollment	all	Normal-size text must meet at least a 4.5:1 contrast ratio against its actual background.	Deep action-blue links on light-gray and pale-blue fields miss the normal-text threshold.	Measured ratios are 4.41:1 on #EAEAEE and 4.29:1 on the pale-blue field at 14.4px/700. The failures recur in 20 route/viewport checks across the four routes.	Use a slightly darker derived action blue for text links on tinted fields or adjust the field tint; keep #1470AF for controls where the text/background pairing already passes.
