source_id	original_url_or_path	source_type	title_or_subject	date	evidence_status	currentness	new_route	new_section_or_record	treatment	reason	implemented	verified
FILE-1	01-understand/UNDERSTAND.md	text/plain	Stage 1 understanding report and initial evidence guide	Stage 1 working artifact; pre-Stage 2	Strong inference	dated-or-historical		Evidence and verification	consolidated	Source supports the reconciled site record, coverage ledger, verification, or a broader canonical responsibility without needing its own public page.	yes	yes
FILE-2	02-collect/.DS_Store	application/octet-stream	macOS Finder metadata; no substantive Garden Gate content	System metadata; date not content-relevant	Do not publish	excluded			exclude-obsolete	Stage 3/4 identifies this material as unsafe, unsupported, obsolete, empty, retired, or rights-limited.	yes	yes
FILE-3	02-collect/COLLECT.md	text/plain	Stage 2 collection report and reconciliation summary	Stage 2 working artifact, 2026-08-27	Strong inference	dated-or-historical		Evidence and verification	consolidated	Source supports the reconciled site record, coverage ledger, verification, or a broader canonical responsibility without needing its own public page.	yes	yes
FILE-4	02-collect/HOMEPAGE-SOURCE-NOTES.md	text/plain	Stage 2 homepage-relevant evidence notes	Stage 2 working artifact, 2026-08-27	Strong inference	dated-or-historical		Evidence and verification	consolidated	Source supports the reconciled site record, coverage ledger, verification, or a broader canonical responsibility without needing its own public page.	yes	yes
FILE-5	02-collect/SOURCE-MAP.md	text/plain	Stage 2 source authority and coverage map	Stage 2 working artifact, 2026-08-27	Strong inference	dated-or-historical		Evidence and verification	consolidated	Source supports the reconciled site record, coverage ledger, verification, or a broader canonical responsibility without needing its own public page.	yes	yes
FILE-6	02-collect/assets/.DS_Store	application/octet-stream	macOS Finder metadata; no substantive Garden Gate content	System metadata; date not content-relevant	Do not publish	excluded			exclude-obsolete	Stage 3/4 identifies this material as unsafe, unsupported, obsolete, empty, retired, or rights-limited.	yes	yes
FILE-7	02-collect/assets/ASSET-INVENTORY.tsv	text/plain	Canonical 284-row media inventory	Stage 2 capture, 2026-08-27; underlying media dates vary	Verified current public information	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-8	02-collect/assets/ASSET-SOURCES.tsv	text/plain	672-row media-to-source occurrence map	Stage 2 capture, 2026-08-27; underlying media dates vary	Verified current public information	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-9	02-collect/assets/README.md	text/plain	Asset collection structure and rights/readme notes	Stage 2 working artifact, 2026-08-27	Strong inference	dated-or-historical			deferred	Photograph or media record remains available to the approved image library; only final selected photographs are published and documented in IMAGE-USAGE.tsv.	yes	yes
FILE-10	02-collect/assets/official-site-images/.DS_Store	application/octet-stream	macOS Finder metadata; no substantive Garden Gate content	System metadata; date not content-relevant	Do not publish	excluded			exclude-obsolete	Stage 3/4 identifies this material as unsafe, unsupported, obsolete, empty, retired, or rights-limited.	yes	yes
